Token;Label;accord
lui;;
oommenga;PER;PER
une;;
jarretibre;;
";";;
"
";;
rien;;
n';;
tait;;
plus;;
oharmant;;
h;;
voir;;
que;;
oes;ORG;ORG
deux;;
"
";;
petites;;
tAtes;;
si;;
prbs;;
l';;
une;;
d;;
l';;
autr;;
et;;
ces;;
patites;;
"
";;
muins;;
entrelaees;;
.;;
Jeanne;PER;PER
etait;;
assise;;
sur;;
un;;
tabou-;;
"
";;
ret;;
";";;
Isaure;PER;PER
0;;
 ;;
genoux;;
derribre;;
elle;;
0;;
tenait;;
une;;
dos;;
"
";;
mains;;
de;;
son;;
ecoliere;;
dans;;
shaeune;LOC;LOC
des;;
siennes;;
0;;
"
";;
pour;;
lui;;
approndre;;
h;;
se;;
servir;;
d;;
ses;;
aiguilles;;
";";;
"
";;
ollo;PER;PER
passait;;
sa;;
tete;;
par;;
0;;
dessus;;
l6paule;;
d;;
leanne;;
0;;
"
";;
afin;;
de;;
voir;;
comment;;
elle;;
sy;;
prenait;;
.;;
"
";;
me;;
umont;;
interroge;;
la;;
petite;;
ennne;;
.;;
"
";;
a;;
As;;
0;;
tu;;
les;;
mains;;
propres;;
?;;
lui;;
demanda;;
Nme;PER;PER
"
";PER;PER
Dumiont;PER;PER
.;;
"
";;
-Oui;;
0;;
madame;;
0;;
je;;
me;;
les;;
suis;;
frottees;;
dans;;
"
";;
le;;
son;;
que;;
Ia;PER;PER
mre;PER;PER
Nannette;PER;PER
a;;
mis;;
bouillir;;
pour;;
"
";;
ses;;
oisons;;
.;;
Maman;;
se;;
sert;;
d';;
un;;
petit;;
bout;;
de;;
bois;;
"
";;
bien;;
pointu;;
pour;;
nettoyer;;
mes;;
ongles;;
.;;
"
";;
0;;
Elle;;
est;;
done;;
bien;;
propre;;
0;;
ta;;
mamanl;;
"
";;
0;;
Oui;;
0;;
madame;;
";";;
tous;;
les;;
matins;;
elle;;
peige;;
"
";;
ses;;
cheveux;;
dans;;
1'6table;;
0;;
et;;
les;;
mions;;
aussi;;
";";;
et;;
"
";;
quand;;
elle;;
allait;;
chercher;;
son;;
pain;;
avee;;
moi;;
0;;
nous;;
"
";;
nous;;
arretions;;
toujours;;
au;;
bord;;
du;;
ruisseau;;
pour;;
"
";;
nous;;
laver;;
les;;
pieds;;
.;;
"
";;
0;;
Fais;;
0;;
tu;;
habituellement;;
ta;;
priere;;
0;;
petite;;
"
";;
Ieannef;ORG;ORG
"
";ORG;ORG
0;;
Oui;;
0;;
madame;;
0;;
je;;
la;;
fais;;
tous;;
les;;
soirs;;
et;;
tous;;
"
";;
les;;
matins;;
.;;
Quand;;
le;;
temps;;
est;;
beau;;
0;;
nous;;
la;;
fai-;;
"
";;
sons;;
dehors;;
0;;
et;;
0;;
quand;;
nous;;
passons;;
devant;;
"
";;
;;
glise;;
0;;
nous;;
enteons;;
toujours;;
pour;;
prier;;
l';;
enfant;;
"
";;
Iesus;PER;PER
.;;
PHMIRk;MISC;MISC
HAITIB;MISC;MISC
.;;
"
";;
0;;
t;;
que;;
lui;;
damandes;;
0;;
tu;;
dans;;
ta;MISC;MISC
pribraf;MISC;MISC
"
";MISC;MISC
0;;
e;;
le;;
prie;;
da;;
me;;
fira;;
devenir;;
bien;;
granda;;
at;;
];;
"
";;
bien;;
ferto;;
peur;;
ggner;;
notro;PER;PER
vio;PER;PER
0;;
afin;;
de;;
ne;;
plus;;
];;
"
";;
demandar;;
 ;;
ceux;;
qui;;
ne;;
nous;;
doivent;;
rian;PER;PER
.;;
"
";;
--u;;
seras;;
donabien;;
ontentequandtu;;
pourras;;
];;
"
";;
travailler;;
"
";;
0;;
0Ohl;;
oui;;
0;;
madame;;
0;;
je;;
vous;;
lassure;;
.;;
"
";;
-t;;
que;;
fera;;
0;;
tu;;
d;;
largnt;MISC;MISC
que;;
tu;PER;PER
gness;PER;PER
.;;
];;
"
";;
quund;;
tu;;
seras;;
grandef;;
"
";;
0;;
Jo;;
donnerai;;
du;;
pain;;
at;;
une;;
rohe;PER;PER
i;PER;PER
maman;PER;PER
";";;
];;
"
";;
pis;;
je;;
donnerai;;
ausi;PER;PER
quelque;PER;PER
ehose;PER;PER
h;;
l;;
mbre;;
];;
"
";;
Nannetta;PER;PER
0;;
qui;;
est;;
sicharitable;PER;PER
pour;;
nous;;
.;;
"
";;
0;;
Mais;;
elle;;
me;;
semble;;
fort;;
i;;
l';;
aise;;
0;;
la;;
mre;;
];;
"
";;
Nannette;LOC;LOC
.;;
"
";;
-Madame;;
0;;
ella;;
n';;
est;;
ps;ORG;ORG
riehe;ORG;ORG
0;;
et;;
0;;
si;;
lle;;
];;
"
";;
ntepargnait;;
pas;;
autant;;
0;;
elle;;
aurait;;
bien;;
de;;
la;;
peine;;
];;
"
";;
h;;
vivre;;
.;;
"
";;
Au;;
bout;;
de;;
quinze;;
jours;;
0;;
eanne;;
sut;;
assez;;
bien;;
"
";;
tricoter;;
pour;;
faire;;
un;;
has;;
.;;
Sophie;PER;PER
lui;;
en;;
commenga;;
];;
"
";;
un;;
0;;
et;;
leanne;LOC;LOC
fut;;
tres;LOC;LOC
0;LOC;LOC
joyeuse;LOC;LOC
de;;
faire;;
voir;;
a;;
sa;;
];;
"
";;
maman;;
et;;
 ;;
Ia;;
mre;PER;PER
.Nannette;PER;PER
comment;;
elle;;
tra-;;
];;
"
";;
vaillait;;
.;;
Quand;;
elle;;
gardait;;
les;;
oies;;
et;;
les;;
deux;;
];;
"
";;
petits;;
oanards;;
0;;
elle;;
avait;;
toujours;;
son;;
bas;;
a;;
la;;
];;
"
";;
main;;
";";;
elle;;
ne;;
le;;
quittait;;
pas;;
non;;
plus;;
pour;;
aller;;
[;;
"
";;
aux;;
portes;;
.;;
Les;;
gens;;
quila;;
voyaient;;
si;;
travailleuse;;
"
";;
lui;;
donnaiant;;
souvent;;
quelque;;
choseavee;;
son;;
pain;;
0;;
];;
"
";;
ou;;
bien;;
des;;
legumes;;
pour;;
mettre;;
dans;;
le;;
pot;;
";";;
et;;
"
";;
quand;;
on;;
fisait;;
de;;
la;;
galett;LOC;LOC
dans;;
les;;
mtairies;;
0;;
];;
"
";;
l';;
on;;
gardait;;
toujours;;
la;;
part;;
de;;
la;;
petite;;
Jeanne.]ENANCI;ORG;ORG
D;ORG;ORG
JEANNH;ORG;ORG
.;;
"
";;
autherino;PER;PER
garto;PER;PER
lo;PER;PER
Ilt;;
.;;
"
";;
lanne;PER;PER
eontinua;PER;PER
d';;
uller;;
troia;;
fois;;
par;;
semaine;;
"
";;
ohe;;
Mme;PER;PER
Dumont;PER;PER
0;;
Les;MISC;MISC
deux;MISC;MISC
demoiselles;MISC;MISC
avuiant;MISC;MISC
"
";;
antreprias;PER;PER
de;;
lui;;
aensoigner;PER;PER
a;;
lira;;
et;;
a;;
eomper;PER;PER
";";;
ellas;PER;PER
"
";;
eontinuaint;;
de;;
lui;;
apprendrei;LOC;LOC
trieoter;LOC;LOC
0;;
at;LOC;LOC
chaquo;LOC;LOC
"
";;
vendredi;;
allo;PER;PER
avait;;
ses;;
cinquanto;;
centimes;;
.;;
"
";;
Elle;;
fut;;
toute;;
une;;
semuine;PER;PER
sans;;
venir;;
.;;
"
";;
a;;
Io;LOC;LOC
eruins;;
bien;;
que;;
eanne;;
ne;;
soit;;
malade;;
0;;
dit;;
"
";;
Nme;PER;PER
Dumont;PER;PER
";";;
ello;;
0;;
qui;;
oest;;
si;;
exueto;;
0;;
na;;
pas;;
paru;;
"
";;
depuis;;
huit;;
jours;;
.;;
"
";;
--;;
Maman;PER;PER
0;;
allons;;
la;;
voirl;;
J';;
aime;;
beaucoup;;
la;;
"
";;
petite;;
Jeanne;PER;PER
";";;
si;;
lle;;
6tait;;
malade;;
0;;
il;;
faudrit;;
"
";;
venir;;
h;;
son;;
aseeours;;
:;;
elle;;
est;;
trop;;
pauvre;;
pour;;
se;;
"
";;
proeurer;;
ce;;
dont;;
elle;;
a;;
besoin;;
.;;
"
";;
Rt;LOC;LOC
en;;
deant;;
cela;;
Isuire;PER;PER
courut;;
appeler;;
sa;;
seur;;
"
";;
et;;
mettre;;
son;;
chaeau;;
.;;
"
";;
En;;
arrivant;;
chez;;
la;;
mre;LOC;LOC
Nannette;LOC;LOC
0;;
ces;;
dames;;
"
";;
virent;;
Ia;PER;PER
petite;;
Jeanne;PER;PER
qui;;
pleurait;;
a;;
la;;
porte;;
de;;
"
";;
la;;
maison;;
.;;
Isaure;PER;PER
courut;;
h;;
elle;;
:;;
"
";;
s;;
Tu;;
pleuses;;
0;;
petite;;
Jeanne;PER;PER
quas;PER;PER
0;;
tut;;
qui;;
t';;
a;;
"
";;
fhait;;
du;;
chagrin;;
"
";;
0;;
Mademoiselle;;
0;;
eest;;
que;;
maman;;
est;;
bian;;
"
";;
malade;;
.;;
"
";;
Mme;PER;PER
Dumont;PER;PER
laissa;;
ses;;
filles;;
avee;;
lJeanne;PER;PER
0;;
et;;
"
";;
entra;;
dans;;
Ila;PER;PER
maison;PER;PER
.;;
Catherine;PER;PER
etit;;
au;;
lit;;
0;;
si;;
];;
"
";;
ple;;
qu';;
on;;
laurait;;
crue;;
morte;;
d6ja;;
.;;
"
";;
a;;
Pourquoi;;
ne;;
m';;
avoir;;
pas;;
fait;;
dire;;
que;;
vous;;
"
";;
6tie;;
malade;;
0;;
ma;;
pauvre;;
femme;;
Ce;;
n';;
est;;
pas;;
];;
"
";;
bien;;
cela;;
";";;
il;;
fhallait;;
envoyer;;
votre;;
petite;;
fille;;
nous;;
"
";;
avertir;;
.;;
FLMIRRE;;
PAHTIB;MISC;MISC
.;;
"
";;
0;;
larei;;
0;;
ma;LOC;LOC
chbre;LOC;LOC
dum;LOC;LOC
";";;
mals;;
vous;;
tes;;
si;;
"
";;
gnrouss;PER;PER
pour;;
ello;PER;PER
0;;
que;;
j;MISC;MISC
n';MISC;MISC
ui;MISC;MISC
pnae;MISC;MISC
voulu;;
ahusor;;
"
";;
de;;
votre;;
bont6;ORG;ORG
.;;
buaillours;;
0;;
i;;
n';;
aurai;;
hientt;;
plus;;
"
";;
baesoin;;
da;;
rion;;
0;;
];;
o;;
la;;
asans;LOC;LOC
";";;
;;
ai;;
trap;MISC;MISC
pti;MISC;MISC
lepuis;MISC;MISC
tutt;MISC;MISC
"
";;
];;
ai;;
peslu;;
mn;;
mari;;
0;;
et;;
jai;;
eu;;
trop;;
de;;
hagi;PER;PER
.;;
"
";;
is;;
hon;PER;PER
Diou;PER;PER
a;;
piti6;;
d;;
moi;;
";";;
il;;
ma;;
rppelle;;
i;;
lui;;
0;;
"
";;
ot;PER;PER
jo;PER;PER
vaias;PER;PER
rsjoiadra;PER;PER
mon;;
puuvra;;
aaques;;
.;;
Tout;;
c;MISC;MISC
"
";;
qul;PER;PER
m';PER;PER
afllige;PER;PER
0;;
e';PER;PER
est;;
de;;
laisser;;
ma;;
petite;;
leanne;;
seul;;
"
";;
uu;;
monde;;
.;;
"
";;
0;;
Il;;
ne;;
faut;;
pas;;
perdro;;
eourage;;
0;;
Ctherine;PER;PER
";";;
"
";;
vous;;
etes;;
jeune;;
0;;
et;;
h;;
votro;;
ge;;
il;;
y;;
a;;
toujours;;
de;;
"
";;
la;;
ressource;;
.;;
"
";;
0;;
Non;;
0;;
madame;;
0;;
il;;
n';;
y;;
a;;
plus;;
de;;
rssouree;PER;PER
0;;
"
";;
paree;;
que;;
le;;
chagrin;;
et;;
la;;
misre;ORG;ORG
me;;
minent;;
depuis;;
"
";;
trop;;
longtemps;;
.;;
"
";;
--;;
IAvez;ORG;ORG
-vous;;
vu;;
M;PER;PER
0;;
le;;
eur6;LOC;LOC
"
";LOC;LOC
0;;
Oui;;
0;;
mulume;PER;PER
0;;
il;;
vient;;
me;;
voir;;
tous;;
les;;
jours;;
"
";;
et;;
a;;
la;;
bont6;ORG;ORG
de;;
m';;
envoyer;;
un;;
peu;;
;;
de;;
bouillon;;
.;;
Il;;
"
";;
me;;
console;;
en;;
me;;
faisant;;
voir;;
la;;
mis6ricorde;;
de;;
"
";;
Dieu;MISC;MISC
0;;
qui;;
a;;
mis;;
sur;;
mon;;
chemin;;
une;;
aussi;;
"
";;
digne;;
iemme;;
que;;
Ia;;
mre;;
Nannette;LOC;LOC
0;;
ainsi;;
que;;
"
";;
vous;;
0;;
madame;;
0;;
qui;;
avez;;
tant;;
de;;
bont6s;;
pour;;
"
";;
ma;;
fille;;
.;;
La;;
mbre;MISC;MISC
Nannette;MISC;MISC
promet;;
de;;
la;;
garder;;
"
";;
quand;;
je;;
ne;;
serai;;
plus;;
0;;
et;;
cela;;
me;;
tranquillise;;
"
";;
un;;
peu;;
.;;
"
";;
--;;
Ctherine;PER;PER
0;;
je;;
n';;
ubandonnerai;;
pas;;
Jeanne;PER;PER
non;;
"
";;
plus;;
0;;
vous;;
pouve;;
etre;;
tranquille;;
.;;
Mais;;
o;;
est;;
done;;
"
";;
la;;
mre;MISC;MISC
Nannette;MISC;MISC
?;;
"
";;
--;;
Elle;;
est;;
all6e;;
mener;;
son;;
h6tail;;
h;;
l';;
abreuvoir;;
.;;
"
";;
La;;
puvre;;
ehere;;
femme;;
me;;
quitte;;
le;;
moins;;
quelle;;
"
";;
le;;
peut;;
";";;
elle;;
me;;
soigne;;
oomme;;
si;;
j';;
etais;;
sa;;
fille;;
et;;
"
";;
ne;;
me;;
laisse;;
manquer;;
de;;
rien;;
.;;
EMANCR;;
DR;;
JBANNR;ORG;ORG
.;;
"
";;
--;;
Adiau;PER;PER
0;;
Catherina;PER;PER
0;;
prene;PER;PER
awurug;PER;PER
";";;
j;;
roe-;;
"
";;
viendrui;;
vous;;
vair;;
aprs;;
0;;
daemain;;
.;;
"
";;
En;MISC;MISC
disant;MISC;MISC
eola;MISC;MISC
0;;
Mm;PER;PER
Dumont;PER;PER
lui;;
donna;;
une;;
"
";;
piee;;
de;;
oin;PER;PER
frnes;PER;PER
.;;
"
";;
atherine;PER;PER
meurt;;
.;;
"
";;
Le;LOC;LOC
surlendemuin;LOC;LOC
0;;
ces;;
dums;MISC;MISC
ratournront;;
vuit;;
"
";;
tCatharine;LOC;LOC
.;;
En;;
ontrant;;
0;;
ellas;LOC;LOC
romurqurent;;
quo;;
les;;
"
";;
rFidnux;MISC;MISC
do;;
son;;
lit;;
taiont;;
ferms;;
";";;
dans;;
un;;
eoin;;
"
";;
de;;
la;;
chambre;;
0;;
Ia;PER;PER
mre;PER;PER
Nunnetto;PER;PER
tenait;;
la;;
pe-;;
"
";;
tite;PER;PER
leanne;PER;PER
qui;;
s';;
etait;;
endormie;;
sur;;
ses;;
genoux;;
.;;
"
";;
Mme;PER;PER
Dumont;PER;PER
sapprocha;;
.;;
"
";;
a;;
Cest;PER;PER
fini;;
0;;
ma;;
chbre;;
damo;;
:;;
la;;
puuvre;LOC;LOC
me;;
est;;
"
";;
allee;;
au;;
bon;MISC;MISC
Dieu;MISC;MISC
";";;
elle;;
est;;
morte;;
comme;;
une;;
"
";;
sainte;;
.;;
M.;;
le;;
cur6;MISC;MISC
0;;
qui;;
ne;;
l';;
a;;
pas;;
quittee;;
0;;
assure;;
"
";;
quil;;
y;;
a;;
bien;;
longtemps;;
qu';;
il;;
n';;
a;;
vu;;
une;;
mort;;
"
";;
pareille;;
.;;
"
";;
0;;
Et;;
qu';;
alles;;
-vous;;
faire;;
de;;
cette;;
enfant;;
?;;
"
";;
0;;
Je;;
0;;
vais;;
la;;
gurder;;
avee;;
moi;;
0;;
madame;;
";";;
comme;;
"
";;
je;;
le;;
disais;;
hier;;
 ;;
M.;;
le;;
cure;;
0;;
e';LOC;LOC
est;;
l;;
bon;;
Dieu;;
"
";;
qui;;
me;;
la;;
envoyee;;
";";;
elle;;
prendra;;
soin;;
de;;
ma;;
vieil-;;
"
";;
lesse;;
comme;;
je;;
vais;;
prendre;;
soin;;
de;;
son;;
en-;;
"
";;
fance;;
.;;
"
";;
0;;
Lenverre;;
-vous;;
enore;;
mendier;;
"
";;
0;;
Ohl;PER;PER
non;;
0;;
madame;;
.;;
Je;;
ne;;
suis;;
pas;;
riche;;
0;;
"
";;
mais;;
il;;
y;;
aura;;
bien;;
asses;;
de;;
pain;;
ici;;
pour;;
nous;;
"
";;
deux;;
.;;
D';;
ailleurs;;
0;;
la;;
voil;;
en;;
age;;
de;;
me;;
rendre;;
des;;
"
";;
services;;
qui;;
me;;
payeront;;
sa;;
nourriture;;
.;;
"
";;
--;;
Mre;PER;PER
Nannette;PER;PER
0;;
il;;
faut;;
eontinuer;;
d';;
anvayer;;
"
";;
leanne;PER;PER
i;PER;PER
la;;
maison;;
";";;
mes;;
filles;;
lui;;
apprendront;;
i;MISC;MISC
"
";MISC;MISC
eerire;MISC;MISC
et;;
a;;
faire;;
toutes;;
sortes;;
d';;
ouvrages;;
.;;
Je;;
mePBMtI;;
PANTIk;LOC;LOC
.;;
"
";;
aharga;PER;PER
do;PER;PER
asun;PER;PER
antratian;PER;PER
";";;
ainsi;;
vaus;PER;PER
uaurez;PER;PER
rion;PER;PER
"
";;
h;;
ddponaser;;
pur;;
ella;;
.;;
"
";;
0;;
Quo;ORG;ORG
la;;
hon;;
Dieu;;
vous;;
oonsorvo;;
0;;
ma;;
ohbra;;
"
";;
damel;;
En;;
apprenant;;
h;;
lonnna;;
h;;
truvuiller;;
0;;
vaus;PER;PER
"
";;
froa;;
plus;;
qua;;
moi;;
pour;;
olla;PER;PER
:;;
vaus;PER;PER
lui;;
mettreg;;
la;;
"
";;
pain;;
a;;
la;;
main;;
pour;;
tout;;
sn;;
ioe;;
..;;
"
";;
--;;
Miro;PER;PER
Nunnatte;PER;PER
0;;
voici;;
quinza;PER;PER
franes;PER;PER
pour;;
faira;;
"
";;
anterrer;PER;PER
catto;PER;PER
puuvrae;PER;PER
fmune;PER;PER
";";;
il;;
na;;
faut;;
pas;;
qu6;;
"
";;
css;MISC;MISC
frais;;
0;;
lh;;
retombent;;
 ;;
votro;;
chuarg;;
.;;
"
";;
Daollt8;MISC;MISC
et;;
intolligenee;;
de;;
la;;
psetite;;
eanne;;
.;;
"
";;
Quelques;;
jours;;
aprs;;
lu;;
ort;MISC;MISC
de;MISC;MISC
sa;MISC;MISC
mhro;MISC;MISC
0;;
leanne;LOC;LOC
"
";;
ualla;;
chez;;
Mme;PER;PER
Dumont;PER;PER
";";;
on;;
lui;;
mit;;
des;;
bas;;
et;;
un;;
"
";;
Ilchu;LOC;LOC
noirs;;
pour;;
qu';;
elle;;
portt;;
le;;
deuil;;
.;;
Le;;
diman-;;
"
";;
ehe;;
suivant;;
0;;
Sophiie;PER;PER
lhabilla;PER;PER
tout;;
en;;
noir;;
.;;
"
";;
ILn;PER;PER
pauvre;;
enfant;;
tait;;
bien;;
triste;;
";";;
elle;;
pleurait;;
"
";;
toujours;;
on;;
pensunt;;
h;;
sa;;
mre;;
";";;
ses;;
yeux;;
6taient;;
"
";;
rouges;;
et;;
gonfl6s;;
";";;
ello;;
ne;;
dsait;;
rien;;
et;;
ne;;
man-;;
"
";;
geit;;
presue;;
pas;;
.;;
On;;
la;;
trouvit;;
souvent;;
" 
";;
noux;PER;PER
0;;
priint;PER;PER
Dieu;PER;PER
.;;
n;;
mbrs;;
Nannette;LOC;LOC
eigesit;;
"
";;
qw';;
lle;;
ne;;
tombt;ORG;ORG
milade;ORG;ORG
";";;
mais;;
0;;
emme;;
elle;;
nar;;
"
";;
ait;;
que;;
huit;;
ans;;
bien;;
juste;;
0;;
elle;;
fnit;;
par;;
oublier;;
"
";;
un;;
peu;;
.;;
Elle;;
continua;;
daller;;
ches;;
Mme;PER;PER
Dumont;PER;PER
0;;
"
";;
et;;
elle;;
apprenait;;
ts;;
0;;
vite;;
tout;;
ce;;
qu';;
on;;
lui;;
mon-;;
"
";;
trait;;
.;;
ILes;LOC;LOC
deux;;
jeunes;;
demoiselles;;
0;;
n;;
la;;
trouvant;;
"
";;
si;;
doeile;;
et;;
si;;
travailleuse;;
0;;
;;
attaehrent;;
 ;;
alle;;
de;;
"
";;
plus;;
en;;
pls;;
.;;
M.;;
le;;
eur;ORG;ORG
0;;
qui;;
la;;
voyait;;
teujouss;PER;PER
"
";;
ags;;
 ;;
l';;
iglise;;
0;;
lui;;
donnit;;
de;;
temps;;
ee;;
tmpee;PER;PER
"
";PER;PER
is;PER;PER
tigs;PER;PER
.;;
ouanl;PER;PER
lle;PER;PER
sut;;
bisi;PER;PER
r;PER;PER
0;;
il;;
Iui;PER;PER
t;;
"
";;
aadeau;;
d';;
un;;
petit;;
livre;;
d';;
heures;;
0;;
ce;;
qui;;
la;;
rendit;;
"
";;
fort;;
ceontente;;
.;;
NANCR;;
D;;
JEANN;MISC;MISC
0;;
.;;
"
";;
A;;
;;
aga;;
da;;
douzs;;
ans;;
0;;
olla;PER;PER
lisait;;
et;;
aerivait;;
bian;;
";";;
"
";;
ollo;PER;PER
faiaait;;
toutes;;
ortes;;
douvrages;;
avao;;
heaueop;;
"
";;
d';;
adresse;;
.;;
ILa;MISC;MISC
mbre;;
Nunnetto;;
lui;;
avait;;
apris;;
h;;
fller;;
";";;
"
";;
at;;
d6ih;;
son;;
fll;MISC;MISC
6tait;;
plus;;
fln;;
qu;;
calui;;
daes;;
autres;;
"
";;
fileues;;
du;;
herg;LOC;LOC
0;;
arae;;
quelle;;
uit;;
bien;;
utten-;;
"
";;
tive;;
 ;;
co;;
qu';;
ello;PER;PER
faiaait;PER;PER
.;;
"
";;
ia;;
ptite;;
eunno;;
faft;PER;PER
sa;;
raemibra;PER;PER
oommnntan;PER;PER
.;;
"
";;
Il;;
y;;
aait;;
d6ji;;
un;;
an;;
que;;
lennne;;
allait;;
h;;
l';;
in-;;
"
";;
struetioni;;
do;;
lu;;
puaroisse;;
avee;;
les;;
autres;;
enfants;;
0;;
"
";;
quand;;
M.;PER;PER
le;;
cur6;;
lui;;
donna;;
un;;
Cntdchiame;PER;PER
et;;
une;;
"
";;
IIistoire;MISC;MISC
suinte;;
pour;;
qu';;
elle;;
les;;
apprlt;;
pnr;;
cour;;
.;;
"
";;
Mme;PER;PER
bDumont;PER;PER
0;;
qui;;
lui;;
en;;
faisnit;;
ricitar;;
un;;
chapitre;;
"
";;
tous;;
les;;
jours;;
0;;
6tait;;
charmee;;
de;;
son;;
intelligenee;;
"
";;
ot;;
de;;
sa;;
memoire;;
.;;
Jeanne;PER;PER
6coutait;;
trbes;;
0;;
attentive-;;
"
";;
ment;;
toutes;;
les;;
explications;;
:;;
aussi;;
tait;;
-elle;;
0;;
avee;PER;PER
"
";PER;PER
Isure;PER;PER
0;;
celle;;
qui;;
riponduit;;
le;;
mieux;;
au;;
ent6-;;
"
";;
chisme;;
";";;
et;;
M.;PER;PER
le;;
cur6;;
les;;
citait;;
toutes;;
les;;
deux;;
"
";;
comme;;
un;;
exemple;;
h;;
suivre;;
0;;
tant;;
elles;;
avaient;;
"
";;
bonne;;
tenue;;
a;;
l';;
eglise;;
.;;
On;;
ne;;
les;;
voyait;;
jamais;;
ni;;
"
";;
causer;;
ni;;
tourner;;
la;;
tete;;
au;;
moindre;;
bruit;;
0;;
comme;;
"
";;
plusieurs;;
autres;;
enfants;;
:;;
elles;;
priaient;;
Dieu;MISC;MISC
de;;
si;;
];;
"
";;
bon;;
eur;;
0;;
qe;ORG;ORG
ceux;;
qui;;
les;;
voyaient;;
an;;
6taient;;
"
";;
merveill6s;;
.;;
"
";;
Quand;;
M.;;
le;;
eur6;MISC;MISC
admit;;
les;;
enfants;;
a;;
fire;;
leur;;
"
";;
premire;;
communion;;
0;;
il;;
mit;;
eanne;;
et;;
Isaure;PER;PER
Ala;PER;PER
];;
"
";;
tAte;MISC;MISC
des;;
autres;;
petites;;
filles;;
0;;
paroe;;
qu';;
elles;;
6taient;;
[;;
"
";;
lesplusinstruites;;
et;;
lesplus;PER;PER
sages;;
:;;
elles;;
n';;
enfurent;;
"
";;
p;;
uetur;;
eela;;
moins;;
modestes;;
et;;
moins;;
humhles;;
.;;
];;
"
";;
Enfin;;
le;;
grand;;
jour;;
arriva;;
.;;
Des;;
la;;
veille;;
0;;
Mme;PER;PER
];;
"
";;
Dumont;PER;PER
avait;;
retenu;;
leanne;;
0;;
et;;
elle;;
l';;
avait;;
meme]PRRMIR;;
PARTI;ORG;ORG
.;;
"
";;
fait;;
ouher;PER;PER
au;;
ohteuu;LOC;LOC
0;;
par;;
qu';;
elle;;
et;;
moins;;
];;
"
";;
de;;
distraatians;;
que;;
dans;;
la;;
bourg;;
.;;
La;;
maitin;;
0;;
fSo-;;
];;
"
";;
phio;PER;PER
lui;;
apporta;;
une;;
rohe;PER;PER
blanohe;PER;PER
et;;
loe;LOC;LOC
reste;;
de;;
la;;
];;
"
";;
toiletto;;
entirement;;
neuf;;
0;;
afin;;
quo;;
0;;
dans;;
oe;;
beau;;
];;
"
";;
jour;;
0;;
elle;;
net;;
rion;;
de;;
vieux;;
sur;;
elle;;
";";;
alla;;
lui;;
dit;;
];;
"
";;
quo;;
sa;;
mre;PER;PER
voulait;;
Ia;;
r6eeompenser;;
ainsi;;
de;;
su;;
];;
"
";;
bonno;;
conduite;;
.;;
"
";;
Pendant;;
la;;
airmonie;LOC;LOC
0;;
qui;;
fut;;
tres;;
0;;
longue;;
0;;
"
";;
Jeanna;PER;PER
aet;PER;PER
Isauro;PER;PER
montrbrent;;
tant;;
de;;
piete;;
quo;;
tout;;
"
";;
le;;
monde;;
an;;
atait;;
6difi;;
.;;
"
";;
Aprbs;PER;PER
la;;
messe;;
0;;
M.;;
le;;
our6;LOC;LOC
0;;
qui;;
avait;;
invit6;;
"
";;
toute;;
la;;
famille;;
Dumont;PER;PER
 ;PER;PER
djeuner;PER;PER
0;;
voulut;;
quo;;
"
";;
leanne;;
se;;
mft;;
aussi;;
 ;;
tble;;
";";;
il;;
disait;;
qu';;
il;;
ne;;
pou-;;
];;
"
";;
vait;;
pas;;
faire;;
trop;;
d';;
honneur;;
a;;
ue;ORG;ORG
petite;;
fille;;
"
";;
uaussi;;
pieuse;;
.;;
"
";;
:;;
:;;
:;;
:;;
:;;
:;;
:;;
"
";;
cher;;
pour;;
diner;;
avee;;
sa;;
gouvernante;;
.;;
"
";;
a;;
petite;;
eanne;;
va;;
tonionrs;LOC;LOC
ches;LOC;LOC
Mme;LOC;LOC
Dumont;LOC;LOC
.;;
"
";;
Ieanne;LOC;LOC
0;;
apres;;
sa;;
premire;MISC;MISC
communion;MISC;MISC
0;;
ne;;
cessa;;
"
";;
pas;;
d';;
aller;;
ehes;;
Mme;PER;PER
Dumont;PER;PER
.;;
Le;;
dimanehe;;
0;;
on;;
la;;
"
";;
faisait;;
crire;;
0;;
lire;;
et;;
compter;;
0;;
pour;;
qu';;
elle;;
n';;
ou-;;
"
";;
blit;;
pas;;
ce;;
qu';;
elle;;
savait;;
.;;
Si;;
l';;
on;;
faisait;;
lalessive;;
0;;
"
";;
elle;;
aidait;;
a;;
savonner;;
le;;
linge;;
0;;
a;;
le;;
mettre;;
au;;
bleu;;
0;;
"
";;
A;LOC;LOC
l'6tendre;;
et;;
a;;
le;;
plier;;
";";;
elle;;
repassait;;
les;;
draps;;
"
";;
et;;
les;;
serviettes;;
0;;
et;;
raceommodait;;
e;;
qui;;
etait;;
d6-;;
"
";;
chir6;;
:;;
elle;;
finit;;
meme;;
par;;
apprendre;;
 ;;
repasser;;
"
";;
la;;
ling;;
fin;;
.;;
Quand;;
il;;
y;;
avait;;
quelquun;;
i;;
diner;;
0;;
"
";;
Ieanne;LOC;LOC
aidait;;
h;;
la;;
cuisiniere;;
et;;
au;;
domestique;;
"
";;
qui;;
mettait;;
le;;
couvert;;
0;;
ce;;
qui;;
lui;;
apprenait;;
unBNANGR;;
DR;;
IRAN;;
";";;
"
";;
peu;;
